b1,"[{1: 2, 2: 3, 3: 4, 4: 1},[0, 0, 0, 0],{1: 2, 2: 3, 3: 4, 4: 1},[0, 0, 0, 0]]"
g1b2g3b2g3a1g1a3,"[{1: 3, 2: 1, 3: 2, 4: 4},[1, 1, 0, 0],{1: 2, 2: 3, 3: 1, 4: 4},[2, 0, 2, 2]]"
g3b2g1b2g1v3g3v1,"[{1: 3, 2: 2, 3: 4, 4: 1},[1, 0, 0, 1],{1: 1, 2: 4, 3: 2, 4: 3},[1, 1, 0, 1]]"
g1b1g3b3g3a1g1a3,"[{1: 4, 2: 1, 3: 3, 4: 2},[1, 1, 0, 0],{1: 1, 2: 4, 3: 2, 4: 3},[0, 1, 0, 2]]"
g3b3g1b1g1v3g3v1,"[{1: 2, 2: 4, 3: 3, 4: 1},[1, 0, 0, 1],{1: 2, 2: 3, 3: 1, 4: 4},[1, 0, 2, 0]]"
a1b2a3b2a3n1a1n3,"[{1: 1, 2: 4, 3: 2, 4: 3},[0, 1, 1, 0],{1: 1, 2: 3, 3: 4, 4: 2},[2, 2, 0, 2]]"
a3b2a1b2a1g3a3g1,"[{1: 2, 2: 4, 3: 3, 4: 1},[1, 1, 0, 0],{1: 4, 2: 2, 3: 1, 4: 3},[1, 1, 1, 0]]"
a1b1a3b3a3n1a1n3,"[{1: 3, 2: 1, 3: 2, 4: 4},[0, 1, 1, 0],{1: 4, 2: 2, 3: 1, 4: 3},[2, 0, 1, 0]]"
a3b3a1b1a1g3a3g1,"[{1: 2, 2: 3, 3: 1, 4: 4},[1, 1, 0, 0],{1: 1, 2: 3, 3: 4, 4: 2},[0, 1, 0, 2]]"
n1b2n3b2n3v1n1v3,"[{1: 4, 2: 2, 3: 1, 4: 3},[0, 0, 1, 1],{1: 3, 2: 2, 3: 4, 4: 1},[2, 2, 2, 0]]"
n3b2n1b2n1a3n3a1,"[{1: 2, 2: 3, 3: 1, 4: 4},[0, 1, 1, 0],{1: 4, 2: 1, 3: 3, 4: 2},[0, 1, 1, 1]]"
n1b1n3b3n3v1n1v3,"[{1: 1, 2: 4, 3: 2, 4: 3},[0, 0, 1, 1],{1: 4, 2: 1, 3: 3, 4: 2},[0, 2, 0, 1]]"
n3b3n1b1n1a3n3a1,"[{1: 1, 2: 3, 3: 4, 4: 2},[0, 1, 1, 0],{1: 3, 2: 2, 3: 4, 4: 1},[2, 0, 1, 0]]"
v1b2v3b2v3g1v1g3,"[{1: 4, 2: 1, 3: 3, 4: 2},[1, 0, 0, 1],{1: 2, 2: 4, 3: 3, 4: 1},[0, 2, 2, 2]]"
v3b2v1b2v1n3v3n1,"[{1: 1, 2: 3, 3: 4, 4: 2},[0, 0, 1, 1],{1: 3, 2: 1, 3: 2, 4: 4},[1, 0, 1, 1]]"
v1b1v3b3v3g1v1g3,"[{1: 4, 2: 2, 3: 1, 4: 3},[1, 0, 0, 1],{1: 3, 2: 1, 3: 2, 4: 4},[1, 0, 2, 0]]"
v3b3v1b1v1n3v3n1,"[{1: 3, 2: 2, 3: 4, 4: 1},[0, 0, 1, 1],{1: 2, 2: 4, 3: 3, 4: 1},[0, 2, 0, 1]]"
b3,"[{1: 4, 2: 1, 3: 2, 4: 3},[0, 0, 0, 0],{1: 4, 2: 1, 3: 2, 4: 3},[0, 0, 0, 0]]"
a1g3a3g1b2g1b2g3,"[{1: 2, 2: 3, 3: 1, 4: 4},[0, 1, 1, 0],{1: 3, 2: 1, 3: 2, 4: 4},[0, 1, 1, 1]]"
